"run","Assets","Defaulted Assets","tick"
1,2239069.95280258,124002.24513959399,106.0
1,2248282.698214496,124002.24513959399,107.0
1,2257495.4436264127,124002.24513959399,108.0
1,2266708.189038329,124002.24513959399,109.0
1,2275920.9344502455,124002.24513959399,110.0
1,2285133.6798621616,124002.24513959399,111.0
1,2294346.425274078,124002.24513959399,112.0
1,2303559.170685994,124002.24513959399,113.0
1,2076917.861945885,124002.24513959399,114.0
1,2086780.9416759908,124002.24513959399,115.0
1,2096644.0214060969,124002.24513959399,116.0
1,2106507.101136203,124002.24513959399,117.0
1,2116370.180866309,124002.24513959399,118.0
1,2126233.260596415,124002.24513959399,119.0
1,2136096.340326521,124002.24513959399,120.0
1,2145959.4200566276,124002.24513959399,121.0
1,2155822.499786733,124002.24513959399,122.0
1,2165685.5795168397,124002.24513959399,123.0
1,2175548.6592469453,124002.24513959399,124.0
1,2185411.7389770513,124002.24513959399,125.0
1,2195274.818707158,189827.38739769906,126.0
1,2204282.576791605,189827.38739769906,127.0
1,2213290.334876051,189827.38739769906,128.0
1,2222298.0929604988,189827.38739769906,129.0
1,2231305.851044946,189827.38739769906,130.0
1,2240313.609129393,189827.38739769906,131.0
1,2249321.3672138397,189827.38739769906,132.0
1,2258329.125298287,189827.38739769906,133.0
1,2267336.883382734,189827.38739769906,134.0
1,2276344.641467181,189827.38739769906,135.0
1,2092420.410400124,189827.38739769906,136.0
1,2102078.502802761,189827.38739769906,137.0
1,2111736.5952053973,189827.38739769906,138.0
1,2121394.687608035,189827.38739769906,139.0
1,2131052.7800106714,189827.38739769906,140.0
1,2140710.872413308,189827.38739769906,141.0
1,2150368.964815945,189827.38739769906,142.0
1,2160027.0572185814,189827.38739769906,143.0
1,2169685.149621218,189827.38739769906,144.0
1,2179343.242023855,189827.38739769906,145.0
1,2189001.3344264915,189827.38739769906,146.0
1,2198659.4268291285,189827.38739769906,147.0
1,2208317.519231765,189827.38739769906,148.0
1,2217975.611634402,189827.38739769906,149.0
1,2227633.704037039,189827.38739769906,150.0
1,2237291.7964396756,189827.38739769906,151.0
1,2246949.888842312,189827.38739769906,152.0
1,2256329.413626687,189827.38739769906,153.0
1,2265312.4147456847,189827.38739769906,154.0
1,2274295.4158646828,189827.38739769906,155.0
1,2283278.4169836803,189827.38739769906,156.0
1,2292261.418102678,189827.38739769906,157.0
1,2301244.419221676,189827.38739769906,158.0
1,2310227.420340673,189827.38739769906,159.0
1,2319210.421459671,189827.38739769906,160.0
1,2328193.4225786687,189827.38739769906,161.0
1,2337176.4236976663,189827.38739769906,162.0
1,2346159.424816665,306010.5880552792,163.0
1,2354767.154322897,306010.5880552792,164.0
1,2363374.8838291303,306010.5880552792,165.0
1,2371982.613335363,306010.5880552792,166.0
1,2380590.3428415954,306010.5880552792,167.0
1,2389198.0723478287,306010.5880552792,168.0
1,2397805.8018540614,306010.5880552792,169.0
1,2406413.531360294,306010.5880552792,170.0
1,2415021.2608665274,306010.5880552792,171.0
1,2423628.9903727598,306010.5880552792,172.0
1,2432236.719878993,306010.5880552792,173.0
1,2440844.449385226,306010.5880552792,174.0
1,2449452.178891458,306010.5880552792,175.0
1,2458059.908397692,306010.5880552792,176.0
1,2466446.9257184872,306010.5880552792,177.0
1,2474288.9504551305,306010.5880552792,178.0
1,2482130.975191774,306010.5880552792,179.0
1,2489972.999928417,306010.5880552792,180.0
1,2497815.024665061,306010.5880552792,181.0
1,2505657.0494017047,306010.5880552792,182.0
1,2513499.074138348,306010.5880552792,183.0
1,2521341.098874991,306010.5880552792,184.0
1,2529183.123611635,306010.5880552792,185.0
1,2537025.148348278,306010.5880552792,186.0
1,2544867.173084921,306010.5880552792,187.0
1,2552709.197821565,306010.5880552792,188.0
1,2560175.2633430017,306010.5880552792,189.0
1,2567366.953761455,306010.5880552792,190.0
1,2574558.644179909,581420.8438983425,191.0
1,2581415.90929453,581420.8438983425,192.0
1,2588273.1744091506,581420.8438983425,193.0
1,2595130.439523771,581420.8438983425,194.0
1,2601987.7046383917,581420.8438983425,195.0
1,2608844.9697530125,581420.8438983425,196.0
1,2615702.234867633,581420.8438983425,197.0
1,2622559.499982254,581420.8438983425,198.0
1,2629416.765096874,581420.8438983425,199.0
1,2469523.003685165,581420.8438983425,200.0
1,2477224.860430664,581420.8438983425,201.0
1,2484926.7171761612,581420.8438983425,202.0
1,2492628.5739216595,581420.8438983425,203.0
1,2500330.4306671573,581420.8438983425,204.0
1,2508032.2874126555,581420.8438983425,205.0
1,2515734.1441581533,581420.8438983425,206.0
1,2414866.1058318983,581420.8438983425,207.0
1,2423605.4403240844,581420.8438983425,208.0
1,2432344.77481627,581420.8438983425,209.0
1,2441084.109308455,581420.8438983425,210.0
1,2449823.4438006408,629531.9971532439,211.0
1,2458228.3529889937,629531.9971532439,212.0
1,2466633.2621773463,629531.9971532439,213.0
1,2475038.1713656993,629531.9971532439,214.0
1,2483443.0805540513,629531.9971532439,215.0
1,2491847.9897424043,629531.9971532439,216.0
1,2500252.898930757,629531.9971532439,217.0
1,2508657.8081191094,629531.9971532439,218.0
1,2517062.717307462,629531.9971532439,219.0
1,2525467.6264958144,629531.9971532439,220.0
1,2533872.535684167,629531.9971532439,221.0
1,2542277.44487252,629531.9971532439,222.0
1,2550682.3540608725,629531.9971532439,223.0
1,2559087.263249225,629531.9971532439,224.0
1,2567492.1724375775,629531.9971532439,225.0
1,2575897.08162593,629531.9971532439,226.0
1,2584301.990814283,629531.9971532439,227.0
1,2592706.900002636,629531.9971532439,228.0
1,2601111.8091909876,629531.9971532439,229.0
1,2609516.718379341,629531.9971532439,230.0
1,2617921.627567693,629531.9971532439,231.0
1,2626326.536756046,629531.9971532439,232.0
1,2634731.4459443986,705311.9607383728,233.0
1,2642761.083519987,705311.9607383728,234.0
1,2650790.7210955736,705311.9607383728,235.0
1,2658820.358671162,976034.7886323379,236.0
1,2666178.5729353363,976034.7886323379,237.0
1,2673536.787199511,976034.7886323379,238.0
1,2680895.0014636857,976034.7886323379,239.0
1,2688253.2157278606,976034.7886323379,240.0
3,3832069.8595772544,0.0,0.0
3,3800095.5365033844,0.0,1.0
3,3758380.0301639102,0.0,2.0
3,3693843.0828250735,0.0,3.0
3,3627898.8496013205,0.0,4.0
3,3601537.6368280957,0.0,5.0
3,3522210.345329836,0.0,6.0
3,3519686.591538598,0.0,7.0
3,3494454.2345191697,4278.005106810008,8.0
3,3374685.9238260956,19664.56663667047,9.0
3,3304960.629962388,19664.56663667047,10.0
3,3194058.274171862,19664.56663667047,11.0
3,3108961.1817679196,19664.56663667047,12.0
3,3109771.187954458,51101.97565346664,13.0
3,3126938.2338230982,65910.98822262474,14.0
3,2924728.8038468864,74746.9873938936,15.0
3,2889964.269954143,100888.9586809836,16.0
3,2583824.4354249584,100888.9586809836,17.0
3,2601583.318855775,104892.8357711306,18.0
3,2618178.9332125764,116713.72366461952,19.0
3,2334689.403483831,116713.72366461952,20.0
3,2350525.427809164,116713.72366461952,21.0
3,2351089.218408109,116713.72366461952,22.0
3,2263356.557764095,116713.72366461952,23.0
3,2279102.1959045613,116713.72366461952,24.0
3,2148049.82137063,196836.538077999,25.0
3,2110695.216881412,196836.538077999,26.0
3,2091700.9049736774,196836.538077999,27.0
3,1890819.54469123,196836.538077999,28.0
3,1908575.650528737,196836.538077999,29.0
3,1830698.3761068643,227436.98394247604,30.0
3,1848608.7978164712,227436.98394247604,31.0
3,1866519.2195260779,227436.98394247604,32.0
3,1884429.6412356845,227436.98394247604,33.0
3,1902340.0629452912,276661.9165150584,34.0
3,1895252.205322138,366258.88708323083,35.0
3,1823365.3828357882,366258.88708323083,36.0
3,1797985.642251802,367087.29063167,37.0
3,1779059.7760099238,367087.29063167,38.0
3,1796851.5109125266,367087.29063167,39.0
3,1582964.91164883,367087.29063167,40.0
3,1600495.7536308495,367087.29063167,41.0
3,1618026.5956128687,367087.29063167,42.0
3,1635557.4375948883,369471.89508795494,43.0
3,1599646.058152767,369471.89508795494,44.0
3,1564723.4142777098,369471.89508795494,45.0
3,1583713.7274146904,369471.89508795494,46.0
3,1602630.8031458494,369471.89508795494,47.0
3,1568687.4549428679,369471.89508795494,48.0
3,1588266.7556862382,369471.89508795494,49.0
3,1607563.1920366124,369471.89508795494,50.0
3,1581395.1862916597,456333.8157515765,51.0
3,1599800.6038444818,456333.8157515765,52.0
3,1618206.021397304,456333.8157515765,53.0
3,1484951.280490438,484537.2335820963,54.0
3,1503492.3450512828,484537.2335820963,55.0
3,1521238.4414149402,573897.6888694562,56.0
3,1538353.5160085468,806555.3239560109,57.0
3,1554140.3515087871,856528.1296225545,58.0
3,1568225.0913681611,858884.3858771028,59.0
3,1581893.4609594163,858884.3858771028,60.0
3,1442295.9160357092,858884.3858771028,61.0
3,1457274.7022938698,918627.2593676515,62.0
3,1471833.7424683853,918627.2593676515,63.0
3,1486392.7826429002,918627.2593676515,64.0
3,1500951.8228174155,918627.2593676515,65.0
3,1515510.8629919307,918627.2593676515,66.0
3,1530069.903166446,918627.2593676515,67.0
3,1448785.3924908396,918627.2593676515,68.0
3,1463907.1079488224,918627.2593676515,69.0
3,1356068.039341909,918627.2593676515,70.0
3,1371560.3465591,1048131.0689353668,71.0
3,1385906.9946068625,1048131.0689353668,72.0
3,1400253.6426546243,1048131.0689353668,73.0
3,1414600.290702387,1048131.0689353668,74.0
3,1419973.7437668887,1048131.0689353668,75.0
3,1385760.9585820166,1048131.0689353668,76.0
3,1400957.733604881,1048131.0689353668,77.0
3,1416154.5086277458,1097719.9073179462,78.0
3,1430687.8301327715,1127618.4620288794,79.0
3,1444558.926625586,1127618.4620288794,80.0
3,1458430.0231184007,1127618.4620288794,81.0
3,1472148.569334161,1127618.4620288794,82.0
3,1485834.2885692173,1127618.4620288794,83.0
3,1499031.589675717,1127618.4620288794,84.0
3,1512034.0571764833,1127618.4620288794,85.0
3,1524514.36259527,1127618.4620288794,86.0
3,1428859.8937914637,1127618.4620288794,87.0
3,1441826.4680099487,1127618.4620288794,88.0
3,1454793.0422284338,1127618.4620288794,89.0
3,1467759.6164469188,1161069.5491731311,90.0
3,1480125.6929987667,1161069.5491731311,91.0
3,1424101.743973029,1161069.5491731311,92.0
3,1436951.7530881325,1161069.5491731311,93.0
3,1449801.7622032363,1161069.5491731311,94.0
3,1462358.6782324072,1161069.5491731311,95.0
3,1474719.0912678048,1161069.5491731311,96.0
3,1486748.3336550188,1161069.5491731311,97.0
3,1463313.7977954068,1161069.5491731311,98.0
3,1475720.0013927075,1161069.5491731311,99.0
3,1488126.2049900077,1161069.5491731311,100.0
3,1500532.4085873084,1295847.4983597414,101.0
3,1480722.560589535,1295847.4983597414,102.0
3,1492159.1854585432,1295847.4983597414,103.0
3,1503325.2455907073,1295847.4983597414,104.0
3,1514275.179587891,1409673.946687373,105.0
3,1524677.9400717895,1409673.946687373,106.0
3,1458210.539242372,1409673.946687373,107.0
3,1439581.1412134788,1409673.946687373,108.0
3,1452744.5999547257,1409673.946687373,109.0
3,1465748.2356121794,1409673.946687373,110.0
3,1478479.305384233,1409673.946687373,111.0
3,1491210.3751562866,1409673.946687373,112.0
3,1503841.5900762363,1409673.946687373,113.0
3,1516393.0514617427,1409673.946687373,114.0
3,1528944.5128472496,1409673.946687373,115.0
3,1541495.9742327565,1409673.946687373,116.0
3,1553756.0085594645,1409673.946687373,117.0
3,1565914.3949451756,1414970.2144824527,118.0
3,1577905.314731695,1414970.2144824527,119.0
3,1458384.6512735605,1414970.2144824527,120.0
3,1470386.4872724633,1414970.2144824527,121.0
3,1482977.9469444798,1414970.2144824527,122.0
3,1494956.559666999,1414970.2144824527,123.0
3,1506920.8544064,1414970.2144824527,124.0
3,1518291.4426576733,1414970.2144824527,125.0
3,1529628.5724644589,1414970.2144824527,126.0
3,1540965.7022712445,1414970.2144824527,127.0
3,1551479.7795553831,1423355.641787885,128.0
3,1560551.925439298,1423355.641787885,129.0
3,1569624.071323212,1423355.641787885,130.0
3,1578696.2172071266,1423355.641787885,131.0
3,1587768.3630910409,1423355.641787885,132.0
3,1596840.5089749552,1423355.641787885,133.0
3,1605912.6548588697,1423355.641787885,134.0
3,1614984.8007427845,1423355.641787885,135.0
3,1624056.9466266988,1423355.641787885,136.0
3,1621933.7883770452,1423355.641787885,137.0
3,1581120.1623898034,1423355.641787885,138.0
3,1591276.7374377518,1423355.641787885,139.0
3,1601433.3124856998,1553732.4851894,140.0
3,1611243.0920123996,1553732.4851894,141.0
3,1621052.871539099,1553732.4851894,142.0
3,1588895.2545660923,1553732.4851894,143.0
3,1599267.7093762597,1553732.4851894,144.0
3,1609447.3363206103,1553732.4851894,145.0
3,1619009.5185430697,1553732.4851894,146.0
3,1628571.7007655292,1553732.4851894,147.0
3,1589545.3136133277,1553732.4851894,148.0
3,1599997.0786069473,1553732.4851894,149.0
3,1610448.8436005677,1553732.4851894,150.0
3,1620900.6085941878,1553732.4851894,151.0
3,1631352.3735878079,1612950.2389569867,152.0
3,1634111.1245898127,1612950.2389569867,153.0
3,1645200.8415097988,1612950.2389569867,154.0
3,1656290.5584297853,1612950.2389569867,155.0
3,1667201.7168254983,1612950.2389569867,156.0
3,1677666.0914010638,1612950.2389569867,157.0
3,1688130.4659766296,1612950.2389569867,158.0
3,1698594.8405521957,1612950.2389569867,159.0
3,1708694.25192536,1612950.2389569867,160.0
3,1717729.836616688,1612950.2389569867,161.0
3,1726414.659444607,1612950.2389569867,162.0
3,1735042.5985691538,1612950.2389569867,163.0
3,1743670.5376937005,1612950.2389569867,164.0
3,1752298.4768182472,1612950.2389569867,165.0
3,1760926.4159427942,1612950.2389569867,166.0
3,1769554.355067341,1612950.2389569867,167.0
3,1778182.2941918878,1735886.1845413777,168.0
3,1786098.5611271544,1735886.1845413777,169.0
3,1794014.828062421,1735886.1845413777,170.0
3,1801100.59536248,1773342.0148078548,171.0
3,1807760.25486777,1773342.0148078548,172.0
3,1814419.9143730602,1773342.0148078548,173.0
3,1821079.57387835,1773342.0148078548,174.0
3,1827739.2333836402,1773342.0148078548,175.0
