run,TotalPercentChange,,,
7,0.78,,,
7,-1.30,,,
7,0.81,,,
7,0.30,,,
7,1.05,,,
7,-1.62,,,
7,0.02,,,
7,2.44,,,
7,-0.90,,,
7,0.85,,,
7,-2.23,,,
7,2.14,,,
7,-2.49,,,
7,2.89,,,
7,0.99,,,
7,-2.84,,,
7,2.01,,,
7,0.13,,,
7,-0.02,,,
7,-1.93,,,
7,1.50,,,
7,-0.53,,,
7,-0.40,,,
7,4.19,,,
7,-3.67,,,
7,-0.25,,,
7,1.12,,,
7,-0.73,,,
7,0.19,,,
7,5.00,,,
7,-2.53,,,
7,-1.69,,,
7,0.22,,,
7,-0.81,,,
7,1.14,,,
7,-0.70,,,
7,0.21,,,
7,2.93,,,
7,-2.43,,,
7,-0.11,,,
7,1.86,,,
7,-1.39,,,
7,0.22,,,
7,2.04,,,
7,-0.25,,,
7,1.88,,,
7,-2.74,,,
7,0.22,,,
7,1.74,,,
7,0.97,,,
7,-2.03,,,
7,0.21,,,
7,0.21,,,
7,2.66,,,
7,-2.18,,,
7,1.38,,,
7,-0.94,,,
7,2.16,,,
7,-0.14,,,
7,0.62,,,
7,0.96,,,
7,-2.48,,,
7,-0.87,,,
7,0.21,,,
7,0.21,,,
7,0.20,,,
7,0.20,,,
7,0.20,,,
7,0.20,,,
7,0.20,,,
7,0.20,,,
7,1.82,,,
7,3.28,,,
7,-4.33,,,
7,1.58,,,
7,-1.16,,,
7,3.46,,,
7,-1.69,,,
7,0.57,,,
7,0.12,,,
7,-1.37,,,
7,0.20,,,
7,0.20,,,
7,3.53,,,
7,-3.03,,,
7,1.39,,,
7,-0.98,,,
7,0.19,,,
7,0.19,,,
7,5.18,,,
7,-4.55,,,
7,1.81,,,
7,2.16,,,
7,-3.25,,,
7,4.03,,,
7,-3.46,,,
7,0.21,,,
7,3.68,,,
7,-3.15,,,
7,0.21,,,
7,0.21,,,
7,0.20,,,
7,0.20,,,
7,0.20,,,
7,0.20,,,
7,3.15,,,
7,0.64,,,
7,1.05,,,
7,-4.81,,,
7,0.20,,,
7,0.20,,,
7,0.20,,,
7,-0.01,,,
7,-1.17,,,
7,0.19,,,
7,3.42,,,
7,-2.94,,,
7,0.19,,,
7,3.77,,,
7,-3.27,,,
7,2.54,,,
7,-2.10,,,
7,2.00,,,
7,-1.59,,,
7,3.51,,,
7,-3.03,,,
7,0.19,,,
7,0.19,,,
7,0.18,,,
7,5.97,,,
7,-1.21,,,
7,-0.56,,,
7,0.66,,,
7,-5.29,,,
7,0.18,,,
7,0.18,,,
7,1.62,,,
7,-1.25,,,
7,0.18,,,
7,0.18,,,
7,0.16,,,
7,0.17,,,
7,-1.89,,,
7,-1.33,,,
7,0.17,,,
7,4.57,,,
7,-4.05,,,
7,-0.56,,,
7,-3.30,,,
7,0.16,,,
7,0.16,,,
7,3.80,,,
7,-3.36,,,
7,5.81,,,
7,-5.19,,,
7,4.53,,,
7,-1.83,,,
7,-5.59,,,
7,0.16,,,
7,4.43,,,
7,-3.94,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,5.42,,,
7,-4.86,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,5.49,,,
7,0.15,,,
7,-1.59,,,
7,-3.25,,,
7,0.14,,,
7,3.54,,,
7,-3.14,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,4.64,,,
7,2.16,,,
7,-6.04,,,
7,0.15,,,
7,3.48,,,
7,3.50,,,
7,-6.18,,,
7,0.16,,,
7,0.16,,,
7,0.16,,,
7,7.11,,,
7,-6.34,,,
7,0.16,,,
7,0.16,,,
7,0.16,,,
7,0.16,,,
7,0.16,,,
7,3.46,,,
7,-3.05,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,-0.25,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,2.49,,,
7,-2.14,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,0.14,,,
7,0.14,,,
7,0.14,,,
7,0.14,,,
7,0.14,,,
7,5.54,,,
7,-5.87,,,
9,0.00,,,
9,0.13,,,
9,0.11,,,
9,0.63,,,
9,-0.86,,,
9,1.19,,,
9,-0.07,,,
9,-0.23,,,
9,-0.29,,,
9,-0.01,,,
9,-0.12,,,
9,0.19,,,
9,0.86,,,
9,-0.84,,,
9,-0.15,,,
9,1.05,,,
9,0.48,,,
9,-2.01,,,
9,-0.30,,,
9,1.25,,,
9,-0.15,,,
9,-0.78,,,
9,0.37,,,
9,0.11,,,
9,1.52,,,
9,-1.88,,,
9,1.66,,,
9,-2.01,,,
9,3.10,,,
9,-3.36,,,
9,1.13,,,
9,-0.98,,,
9,2.28,,,
9,-2.07,,,
9,0.08,,,
9,1.21,,,
9,0.95,,,
9,-0.04,,,
9,0.13,,,
9,0.36,,,
9,-1.13,,,
9,-0.98,,,
9,-2.09,,,
9,-0.95,,,
9,-0.35,,,
9,2.32,,,
9,-1.24,,,
9,-1.97,,,
9,2.65,,,
9,-2.36,,,
9,1.91,,,
9,1.43,,,
9,-1.62,,,
9,2.54,,,
9,-0.46,,,
9,-0.81,,,
9,-2.95,,,
9,0.17,,,
9,0.17,,,
9,2.19,,,
9,-0.31,,,
9,-1.45,,,
9,0.19,,,
9,0.19,,,
9,1.62,,,
9,-0.49,,,
9,-1.90,,,
9,-1.38,,,
9,0.18,,,
9,2.00,,,
9,0.21,,,
9,0.36,,,
9,0.75,,,
9,-2.36,,,
9,0.55,,,
9,-0.19,,,
9,1.82,,,
9,-1.44,,,
9,2.34,,,
9,-1.95,,,
9,2.49,,,
9,-2.09,,,
9,0.18,,,
9,4.20,,,
9,-4.13,,,
9,0.17,,,
9,0.17,,,
9,0.17,,,
9,0.17,,,
9,3.72,,,
9,1.80,,,
9,-4.82,,,
9,0.17,,,
9,0.17,,,
9,0.16,,,
9,4.62,,,
9,-4.09,,,
9,0.17,,,
9,0.17,,,
9,-0.91,,,
9,0.17,,,
9,-1.05,,,
9,3.94,,,
9,-6.16,,,
9,-4.11,,,
9,0.15,,,
9,0.15,,,
9,2.56,,,
9,-0.91,,,
9,1.30,,,
9,-0.17,,,
9,-1.63,,,
9,1.84,,,
9,2.53,,,
9,-0.68,,,
9,-3.38,,,
9,0.14,,,
9,0.14,,,
9,0.14,,,
9,0.14,,,
9,1.95,,,
9,-1.64,,,
9,5.27,,,
9,-4.47,,,
9,-5.44,,,
9,0.15,,,
9,0.15,,,
9,3.72,,,
9,-3.30,,,
9,0.15,,,
9,3.50,,,
9,-3.10,,,
9,0.14,,,
9,0.52,,,
9,2.39,,,
9,-2.42,,,
9,0.14,,,
9,0.14,,,
9,0.14,,,
9,0.09,,,
9,-4.21,,,
9,0.13,,,
9,0.13,,,
9,-0.48,,,
9,0.13,,,
9,0.13,,,
9,4.23,,,
9,-3.80,,,
9,0.14,,,
9,0.14,,,
9,0.14,,,
9,-2.52,,,
9,0.13,,,
9,0.13,,,
9,3.34,,,
9,-2.98,,,
9,0.13,,,
9,0.13,,,
9,2.53,,,
9,-2.22,,,
9,0.13,,,
9,0.13,,,
9,0.13,,,
9,0.13,,,
9,0.13,,,
9,1.45,,,
9,-1.19,,,
9,0.12,,,
9,0.50,,,
9,-0.25,,,
9,0.12,,,
9,2.72,,,
9,-2.41,,,
9,0.12,,,
9,7.69,,,
9,-6.92,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,1.99,,,
9,-1.72,,,
9,0.12,,,
9,0.12,,,
9,6.87,,,
9,-6.21,,,
9,0.12,,,
9,13.57,,,
9,-11.74,,,
9,0.12,,,
9,5.83,,,
9,-7.41,,,
9,0.11,,,
9,4.43,,,
9,-4.03,,,
9,0.11,,,
9,0.11,,,
9,5.43,,,
9,0.26,,,
9,-5.07,,,
9,0.12,,,
9,0.12,,,
9,5.60,,,
9,-5.07,,,
9,0.13,,,
9,4.23,,,
9,-3.82,,,
9,0.12,,,
9,2.31,,,
9,0.86,,,
9,-4.39,,,
9,0.13,,,
9,12.45,,,
9,-10.85,,,
9,0.12,,,
9,8.64,,,
9,0.50,,,
9,-8.07,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,0.12,,,
9,3.94,,,
9,-3.56,,,
9,0.12,,,
11,0.00,,,
11,0.01,,,
11,0.21,,,
11,-0.28,,,
11,0.69,,,
11,-0.05,,,
11,-0.34,,,
11,0.66,,,
11,-0.53,,,
11,-0.22,,,
11,-0.85,,,
11,1.49,,,
11,0.09,,,
11,-1.21,,,
11,-0.56,,,
11,-0.43,,,
11,0.27,,,
11,2.27,,,
11,-1.59,,,
11,0.57,,,
11,-0.60,,,
11,0.06,,,
11,-1.09,,,
11,0.44,,,
11,2.00,,,
11,-1.23,,,
11,0.13,,,
11,-0.36,,,
11,-1.62,,,
11,-0.70,,,
11,1.66,,,
11,-1.10,,,
11,0.45,,,
11,-0.29,,,
11,1.73,,,
11,-1.24,,,
11,-0.88,,,
11,1.04,,,
11,-0.94,,,
11,0.47,,,
11,-0.39,,,
11,0.04,,,
11,2.30,,,
11,-0.37,,,
11,-0.78,,,
11,-0.24,,,
11,2.20,,,
11,-1.30,,,
11,-2.41,,,
11,1.24,,,
11,-1.10,,,
11,1.80,,,
11,-1.64,,,
11,2.68,,,
11,-2.49,,,
11,2.79,,,
11,-2.60,,,
11,0.06,,,
11,1.08,,,
11,0.50,,,
11,-1.38,,,
11,1.52,,,
11,-1.38,,,
11,0.06,,,
11,1.66,,,
11,1.36,,,
11,-2.77,,,
11,0.06,,,
11,6.22,,,
11,-4.21,,,
11,-4.58,,,
11,2.66,,,
11,-2.48,,,
11,0.06,,,
11,0.06,,,
11,1.64,,,
11,3.99,,,
11,-5.23,,,
11,0.34,,,
11,0.26,,,
11,1.10,,,
11,0.43,,,
11,-2.40,,,
11,0.06,,,
11,0.06,,,
11,2.46,,,
11,-1.36,,,
11,-0.88,,,
11,4.20,,,
11,-3.39,,,
11,-0.45,,,
11,0.08,,,
11,2.79,,,
11,-2.57,,,
11,2.39,,,
11,-2.18,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,2.62,,,
11,-2.39,,,
11,0.08,,,
11,2.42,,,
11,0.82,,,
11,1.32,,,
11,-4.12,,,
11,-2.34,,,
11,2.03,,,
11,-1.85,,,
11,0.07,,,
11,3.25,,,
11,-3.01,,,
11,0.07,,,
11,-0.75,,,
11,0.36,,,
11,-3.93,,,
11,3.09,,,
11,-4.33,,,
11,0.05,,,
11,0.05,,,
11,0.05,,,
11,8.88,,,
11,-3.09,,,
11,-5.04,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,0.08,,,
11,1.76,,,
11,-1.58,,,
11,0.08,,,
11,1.90,,,
11,1.16,,,
11,2.38,,,
11,-2.81,,,
11,0.16,,,
11,1.41,,,
11,-3.43,,,
11,3.68,,,
11,-3.36,,,
11,0.09,,,
11,6.21,,,
11,-5.67,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,2.63,,,
11,-2.38,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,2.05,,,
11,-1.83,,,
11,4.31,,,
11,-3.95,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,4.67,,,
11,-4.29,,,
11,0.09,,,
11,0.09,,,
11,7.76,,,
11,-7.04,,,
11,0.09,,,
11,0.09,,,
11,0.09,,,
11,2.84,,,
