run,Defaulted Assets,Net Assets,Remaining Bank Assets,Bank Defaults
1,506281.997032179,3569535.53199682,1058999.81582213,0
1,506281.997032179,3577903.98438407,1078010.45625694,0
1,506281.997032179,3586236.96281116,1096756.55908698,0
1,506281.997032179,3594535.23082357,1114903.48956734,0
1,506281.997032179,3602800.66996109,1132743.38203746,0
1,506281.997032179,3611034.19425417,1149513.28977363,0
1,506281.997032179,3619239.26393577,1148908.79400296,0
1,506281.997032179,3627473.69883555,1165310.37134806,0
1,506281.997032179,3635680.90992717,1081237.34450637,0
1,506281.997032179,3644195.72181191,1098294.61843842,0
1,506281.997032179,3652682.05882316,1115351.89237048,0
1,506281.997032179,3661139.82604466,1132409.16630253,0
1,506281.997032179,3669568.9282438,1149466.44023459,0
1,506281.997032179,3677969.2698705,1166523.71416664,0
1,506281.997032179,3686340.75505618,1168924.39361945,0
1,506281.997032179,3694732.14292764,1186961.00168285,0
1,506281.997032179,3703091.38006512,1143913.49549533,0
1,506281.997032179,3711621.97301369,1162833.88281128,0
1,506281.997032179,3720117.93331436,1181754.27012723,0
1,506281.997032179,3728579.14552499,1200674.65744318,0
1,506281.997032179,3737005.49381859,1219595.04475913,0
1,506281.997032179,3745396.86198212,1238515.43207508,0
1,506281.997032179,3753753.13341515,1257435.81939104,0
1,506281.997032179,3762074.19112856,1250286.77111075,0
1,506281.997032179,3770446.81586195,1270076.96437129,0
1,506281.997032179,3778781.38203359,1289665.42929985,0
1,506281.997032179,3787078.43520937,1308893.21766984,0
1,506281.997032179,3795339.05260117,1328121.00603982,0
1,506281.997032179,3803563.11275637,1347348.7944098,0
1,506281.997032179,3811750.49381753,1366576.58277979,0
1,506281.997032179,3819901.07352099,1385195.2601679,0
1,506281.997032179,3828016.7595655,1402658.32895248,0
1,527296.160096366,3815087.12460336,1319976.55234818,0
1,527296.160096366,3823404.15984421,1337790.66651422,0
1,527296.160096366,3831689.53815531,1355604.78068025,0
1,527296.160096366,3839943.15401356,1373418.89484629,0
1,527296.160096366,3848164.90154411,1391233.00901233,0
1,654311.74578219,3729339.0888334,1373369.63500603,0
1,654311.74578219,3737192.32034615,1391746.30851755,0
1,654311.74578219,3745010.47371892,1410122.98202908,0
1,654311.74578219,3752793.43202455,1428499.65554061,0
1,654311.74578219,3760541.07794616,1446876.32905213,0
1,686734.691402152,3735830.34815585,1465253.00256366,0
1,686734.691402152,3743398.93930782,1474458.06841769,0
1,686734.691402152,3750962.07554412,1480573.28489634,0
1,702184.827623419,3743079.90195835,1474988.26705825,0
1,702184.827623419,3750640.20740802,1476108.88635404,0
1,702184.827623419,3758221.9784782,1495369.75066072,0
1,702184.827623419,3765764.81923759,1514630.6149674,0
1,702184.827623419,3773268.59991849,1496609.09037739,0
1,702184.827623419,3780857.46495029,1516887.53046131,0
1,702184.827623419,3788404.03139859,1536920.23974514,0
1,872942.005793711,3625151.79920048,1556883.84327119,0
1,980100.782650445,3524887.24886351,1575286.50642706,0
1,980100.782650445,3531385.91800496,1592868.71184194,0
1,980100.782650445,3537847.6420255,1610128.68542043,0
1,980100.782650445,3544273.37188085,1626841.08489072,0
1,980100.782650445,3550664.81283749,1643263.06517262,0
1,980100.782650445,3557022.81866304,1659319.76805596,0
1,980100.782650445,3563348.4954984,1675376.47093929,0
1,980100.782650445,3569641.73558026,1691433.17382263,0
1,980100.782650445,3575902.43078612,1549465.60162494,0
1,1000515.93533635,3562242.06753075,1566125.21099267,0
1,1000515.93533635,3568895.79038587,1582226.08182776,0
1,1000515.93533635,3575518.02274773,1598326.95266285,0
1,1000515.93533635,3582108.65964802,1614427.82349794,0
